,name,address,lat,lon,10pm_cd,11pm_cd,12am_cd,1am_cd,2am_cd
99,Onyx,"114 Middle Rd, #06-00 M Bistro, Singapore 188971",1.2991444,103.8535192,,,,,
100,Magic Carpet Bollywood Lounge,"7500E Beach Rd #01-201, Diners Club Building, Singapore 199595",1.2997822,103.8602287,,,,,
101,Empire ktv,"150 Orchard Rd, #05-20 Orchard Plaza, Singapore 238841",1.300939,103.8410713,,,,,
102,S Box Pub & Entertainment,"258 Joo Chiat Rd, Singapore 427512",1.3111996,103.9009921,,,,,
103,Paramount Music Lounge,"298 Geylang Rd, Singapore 389342",1.3125043,103.879296,70,75,45,20,0
104,Zouk Singapore,"3C River Valley Road 01-05 to #02-06, Singapore 179022",1.2908082,103.8460689,65,90,90,85,70
105,Club Colaba Bollywood,88 Circular Rd Singapore 049439,1.2876455,103.8487651,55,65,60,45,35
106,Capital Zouk Singapore,"3C River Valley Road 01-05 to #02-06, Singapore 179022",1.2898223,103.8451644,,,,,
107,Club RICH 富二代,"114 Middle Rd, #01-01, Singapore 188971",1.2991444,103.8535192,75,100,85,75,55
108,MARQUEE Singapore,"2 Bayfront Avenue B1-67, Galleria Level, The Shoppes at Marina Bay Sands, Singapore 018972",1.2857015,103.8597334,,,,,
109,"CÉ LA VI Singapore: Restaurant, SkyBar & Club Lounge","1 Bayfront Avenue Marina Bay Sands, Hotel, Tower 3, Singapore 018971",1.2846929,103.8610232,75,60,45,35,25
110,Cherry Discotheque,"133 Cecil St, Singapore 069535",1.2802406,103.8488984,,,,,
111,Shanghai Dolly,"3B River Valley Road, #01-01 Clarke Quay, Singapore 179021",1.2913144,103.8454768,,,,,
112,Asiatic Club,114 Middle Rd #04-00 Singapore 188971,1.2991438,103.8535734,65,90,75,75,60
113,Blowfish Live Band & Dance Club,"360 Orchard Rd, #B1-00 International Building, Singapore 238869",1.3060051,103.8308598,,,,,
114,No Sleep Club,"20 Keong Saik Rd., Singapore 089127",1.2800061,103.8416389,,,,,
115,Naughty Girl Club,"400 Orchard Rd, #02-46 Orchard Tower, Singapore 238875",1.3069439,103.8291434,100,90,60,45,35
116,XclusiV Club,"6 Raffles Boulevard, Raffles Link, #01-04, Singapore 039594",1.2912061,103.8576768,,,,,
